id,text,label
yahoo_00000,join me in a pub quiz i go to a pub quiz every wednesday night and thought i would share some questions with you see how many know them though don't look up answers just see if you know them n n1 what side of the road do the japanese drive on n n2 who's heart beats faster men or womens n n3 what mammal makes a new nest very day n n4 what does colin montgomerie eat on a golf course in a new advert n n5 and just for fun what would your team name be 1 - left n2 - women n3 - an orangutan will never sleep in the same nest twice n4 - kit kat n5 - the village idiots,education_reference
yahoo_00001,is it true that black men are more adept in the act of intercourse in comparison to men from other races no it is not true complete myth n nwhat aspect of your intelligence skills character personality manners towards women is determined by the colour of your skin - think about it,society_culture
yahoo_00002,this one's for everybody why is there not a cheerleading section under the sports category i mean c'mon pool over cheerleading darts give me a break n ni guess this introduces my next question do you personally consider cheerleading a sport people play pool after leaving school people play darts after leaving school besides cheerleading camp tell me where all the cheerleading parks are cheerleading is not an enduring activity it's like asking a ceo how he likes recess,sports
yahoo_00003,what year did apple bottoms clothing line establish the clothing firm was established in august of 2003 by the famous rapper nelly yomi martin and ian kelly,entertainment_music
yahoo_00004,why can't we all just be called american do we have to refer to certain races like african-american asian-american and irish-american if you are a born here does it really matter what you are really called i read some of the answers here and well seems to me that we are answering out both sides---i am part italian--and yes i am very proud of that and if it weren't for my great grandfather coming over and busting his butt to become legal who knows where i would be but he came here to america and he wanted to become an american he did this for a good reason i am sure i am american period so now what some are saying is we need labels on us like can goods,politics_government
yahoo_00005,how long does it take for a bone graft from your hip to form a base for dental implants take to heal can yo can you return to work the next day once again another uneducated answer from a dental hygienist n ni am a dentist n nplease disregard the answer from the dental hygienist hygienists as you may know go to school for two years they learn a smattering of anatomy a dash of pharmacology a splash of microbiology and the tiniest hint about dental procedures ultimately their job is to clean teeth and gums yet here we have a hygienist who doesn't know squat about bone grafting telling you that freez-dried bone is a suitable substitute for a hip graft n nthe doctor who has diagnosed your problem and has decided on the hip graft is an oral and maxillofacial surgeon they attend four years of college four years of dental school and four to six years of surgery residency after dental school hygienists may or may not even have bachelors degrees and hygiene school is two measely years i think it's safe to say that the oral surgeon is a thousand times more educated than the hygienist and for a hygienist to question the clinical judgment of an oral surgeon is like a toddler questioning the manner in which his parents do their taxes as a dentist i'd think twice about questioning the clinical judgment of an oral surgeon n nthere are a variety of bone grafting materials and each has its purpose generally hip grafts are asic grafts anterior superior iliac crest grafts bone can be harvested elsewhere from the hip however often times some of the hard cortical bone is harvested along with the softer cancellous bone beneath the benefits of using real bone especially when there are hard cortical pieces are very clear obviously the hygienist doesn't have a stinking clue what they are as expected n noften times when increased height of the jaw bone is desired a hard piece of real bone grafted to the mandible is preferable as it is less likely to erode away resorb furthermore by using real bone you are getting the benefit of all the existing cells found within bone osteoblasts osteoclasts osteoprogenitor cells platelets and its pdgf etc and bone growth i e success of the graft is more predictable and pronounced n nfreeze-dried bone works fine in many cases but the problem with it is that it is very granular and can move easily if you're trying to add vertical height to the alveolar bone in your jaw it's not a very good material furthermore freeze-dried bone serves as a framework upon which bone will grow not as an actual bone replacement your body must grow bone into it it's a very different process than using actual live bone n nas far as walking goes yes you should be able to walk in fact they generally want you up and walking the following day after the surgery if you can't they do what they can to make it so you can n none of the risks of the graft other than the standard risk of infection hematoma scarring etc is damage to the lateral femoral nerve which supplies sensation to the side of your thigh resulting in anesthesia or paresthesia n ngood luck i've taken part in this type of surgery before and have managed the post-operative care for these patients they generally do quite well,health
yahoo_00006,how long have you been with your partner and what do you love about them i've been with my boyfriend for 2 and a half years and he makes me laugh he's my best friend i have been with my wife for 14 years we will be married 12 years this august we have had our share of problems but what i love about her most is her conviction and desire to keep our marriage alive and strong it has not been easy for her at times during the years dealing with me but she loves me very much and perseveres knowing that our love is a good one n even though i do not tell her enough she really is a beautiful woman and my best friend knows everything about me and yet she still loves me i almost lost her at one point and i hope that i can work out my problems so i never chance that again,family_relationships
yahoo_00007,protocol for solid phase peptide synthesis protocol for solid phase peptide synthesis preferably simple protocols this one i hope it helps,science_mathematics
yahoo_00008,should the roman catholic church be put on trial for sanctioning crusades and repressing knowledge countless numbers of non-christians were killed in the name of jesus over a thousand year period or more 'heretics' burned alive on piles of wood including so-called witches knowledge was suppressed i truly believe we could have discovered electricity and have all the things we have today more than a thousand years ago had it not been for the roman catholic church what do you think what do you really know about history if you have to go back a millennium to find fault with the church i think that pretty much proves the catholic church has learned from it's alleged mistakes n nlet me see if i get this straight n1 you think the catholic church is bad n2 therefore you want it brought up on trial for all the mistakes both real and imaged of the past n3 and your only evidence is a scientifically unsubstantiated belief that electricity could have brought about all the inventions we have today n nyou can't prove that a mere belief does not consititute evidence what's more you stll will have to prove how having the electronics of today would have prevented the mistakes both real and imagined of the past n ni don't think you've thought this through very well if at all,society_culture
yahoo_00009,should general teachers be trained on special education issues teaching i realize the importance of mainstreaming special education in with the general classroom however i am currently in a situation where i don't feel my son is getting the education he deserves he is not a normal student and learns differently pdd-nos add dyspraxia dysgraphia do you think a teacher that has a student with disabilities should be required to take training otherwise how is this better for the kids i have an iep i am fighting to change it i dont feel everything on the iep gets applied on a day to day to basis - and i have tried for an aide in the class also they say an aide is habit forming oh yes that's a big one for me i think special ed teachers should be better trained then they are none of the ones i've seen seem to be trained on how to handle the behavior issues that go hand in hand with things like autism adhd odd etc i don't even agree with integration with kids with those disorders to be honest the type of socialization those happens in a regular classroom is not the kind of socialization that children with autism pdd-nos need i don't agree with the theory that you throw a child with social issues into a social setting to sink or swim because all to often they will sink they can't force themselves to be social no matter what we do if schools were the cure all for social anxieties then we wouldn't have 'social misfits' in school we wouldn't have shy people there would be no such thing as introverts so it's a failed philosophy and i think they should be in smaller special ed classes where the teachers have received much more training than what they are getting now so they know how to deal with each individual dx and work with them so yes it stands to reason that general teachers should have the same training if they're going to have special kids in there class it's not fair to expect the kids to react normally when they don't have the skills to do so to me that's just cruel most of these disorders have sensory issues that make it so hard to perform in a classroom and those are not addressed in school therapy too often i chose to homeschool my kids long before my tim came along with autism pdd-nos they're not sure of which dx but having him and learning about his needs and his limits confirmed in me to homeschool him i feel it's the best thing in the world for him he still socializes but it's on his terms i know he can only handle it for about an hour then he tantrums so we stay within that guideline he was on a bowling league this last season and it was about an hour and he did wonderfully anything longer and it would have been a nightmare,education_reference
yahoo_00010,has anyone been diagnosed with ms but found it took forever to get results the mri had 7 lesions in the white matter of the brain the lumbar puncture was negative i had a variety of other tests that i can't remember the names of neurologist left diagnosis as demylination unspecified he hinted at ms but didn't want to say certain it took two years of tests and ruling out other causes and a new neurologist when i moved before i had the diagnosis,health
yahoo_00011,does any one know where i can find a job as a graphic designer in boston area sometimes best way to find a job is to get out the yellow pages and find places you would like to work call them up and ask if you can fax over your resume and to who's attention or ask if they are hiring and can you come in for an interview make sure the resume is very specific about what you are looking for if it's vague the resume goes into the garbage only 10 of the job openings ever make it to the ad s 70 of jobs are filled through someone you know-your mother's cousin or whoever,business_finance
yahoo_00012,what's your workout cardio running aerobics etc or weight lifting i like to run and weight lift but if i had to choose i would say prolly run even thought i'm so outta shape now i do both cardio helps me lose extra flab and makes me feel energized afterward but weight training helps you burn more calories because of muscle mass both have great benefits especially when they are done together,health
yahoo_00013,which social groups fail dispropotionately in secondary school in uk details examples of all type of school top middle bottom of the national secondary league table in uk this is not a question for the people using this site n if you are in education you would know where to get this n info if not then you have the reaction you wanted,education_reference
yahoo_00014,whats the best way to loose weight besides go on a diet excercise i already know that there is no better way to lose weight than dieting and exercise any artificial method that you try is probably not good for you you'll lose weight with laxatives drugs or bulimia but you won't be healthy,health
yahoo_00015,is there any way that i can see if my printer needs ink the only way it allowes me to view the cartridges is when im printing i want to see if i can view my ink cartridges by just clicking on something i have an i850 canon printer go to control panel printers you should find there your printer and the software like shown in this website n picture with the 4 ink cartridges window canon i850 - usb00x show you the current content of the cartridges if there is still ink in them and it doesn't print something the print head is fried,computers_internet
