id,text,label
yahoo_01782,"why do you mexicans feel the need to whistle, stare and yell at any female that is breathing? beacause mexicans are nasty horn dogs ans think of sex all day whu do you think they hanve soo many kids lol",politics_government
yahoo_03917,",.,.,.,.,..,!!!!? my mom is thinking about adopting a teenage or preteen caucasian boy. but shes thinks the agency will be a little racist towards her and wont make her to that since she is black. and she is also worried that the boy wont like the idea of living with a black family.\n\nwhat should she do?? Let her do what is right 4 her.",family_relationships
yahoo_00221,"the sentence below is line from the declaration of independece,so can you help me ""translate"" or""replica"" it TO PROVE THIS,LETS FACTS BE SUBMITTED TO A CANDID WORLD The Declaration of Independence\nof the Thirteen Colonies\n\nhttp://www.wealth4freedom.com/\n\nhttp://www.colonialhall.com/index.php\n\nhttp://www.wealth4freedom.com/wisdom/DOI.htm\n\n\nhttp://www.wealth4freedom.com/truth/search/BillofRights.htm\n\nhttp://www.historyplace.com/unitedstates/revolution/decindep.htm\n\nhttp://www.jessamine.k12.ky.us/neas/tech/resources/colonial_resources.htm\n\nhttp://www.dasd-ew.org/history.htm#colonial\n\nhttp://www.oswego.org/staff/cchamber/resources/colonial.cfm\n\nhttp://home.wi.rr.com/rickgardiner/primarysources.htm\n\nhttp://www.kidinfo.com/American_History/Colonization_NE_Colonies.html\n\nhttp://www.archives.gov/\n\nGood luck.\n\nKevin, Liverpool, England.",education_reference
yahoo_02135,"What Breed Of Dog Doesn't Shed? Which doesnt shed much and is it safe for people with ashma. any dog that has a single coat of hair. poodles, kerry blue terriers, soft coated wheaton terriers, labrdoodles...Purina has a good tool for picking the right dog for you. it asks about the size of your home and yard as well as how often you're willing to walk a dog...\n\nhttp://sy.adiho.com/ASA/Controller?adi_hasScript=1&_AD_195R22=111&adi_scriptSID=659B1279EEEAAECE00C1C343F29693F0&sysid=4&appid=9901\n\nremember just because a dog doesn't shed doesn't mean that they won't drag grasses in from outside which could trigger allergies.",health
yahoo_05224,What kind of exercises should i do to put on weight and increase my apetit?? dont smoke,health
yahoo_01168,why doesn't oprah marry stedman? What for? They are companions that understand what a relationship needs. Both have money and enterprises to take care of. Probably marriage for them is just a paper and for people as independent (in many ways) is not necessary a husband or wife to feel happy and/or complete.,entertainment_music
yahoo_00879,"wana go to amsterdam? i have been smoking for 5 years and i quit a year and a half ago(i joined the army )well im getting chapterd out of the army for PTSD\nand im gona be home in va in october and im going to amsterdam aneyone in fredricksburg ,manassas ,dale city ,wana go with me i hear that they dont let tourist smoke in amsterdam any more..you have to be a local resident...\n\nbut i would love to go if they do let you smoke still...",family_relationships
yahoo_00156,"I have a question please answer to it please? my father and our family want to go to canada we live in iran\nI study in a very very very good school and my school said if I go to a fouren contry for one year they dont let me to go to that school for study what I must to do \nI must go to canada\nor stay with grandmother in Iran\nor go in summer and comback when the schools open and my father stay in there You have a very,very tough decision but if I were you I would go to Canada. It will be a very big change in your life but I believe you would adjust. Also this will give you a better base on which to further your education. This is a wonderful opportunity for you and also I'm sure you will make new friends here if that is an issue w/ you. Good luck w/ your decision and hope this helps you.",education_reference
yahoo_01657,"Humpty Dumpty.....? Humpty Dumpty sat on the wall. Humpty Dumpty had a great fall. Now did all the King's horses and all the Kings men really put Humpty Dumpty back together again? Or did they have scrambled eggs again? This is definitely politics..... and cooking too. Politically speaking, Humptyman represents the fragile existence of any union, confederation, or treaty. Once there is disharmony and the accord is broken, can true reunion ever be regained? The greater question is, did Humpty Dumpty fall or was he pushed? HOWEVER. from a foodies standpoint, Why would they have to settle for scrambled eggs again? Why not whip the clumsy bastard into a frenzy and add in some swiss cheese, green pepper and some diced ham and make him into a swell Denver Omlette? Or better yet, add a little whipping cream, vanilla, and a pinch of salt. Dip a couple pieces of thick sliced bread and make some tasty Freanch toast. See, sometimes what looks like a catastrophic mess can really turn out to be OK. You just have to look at it from outside the box sometimes, That's all.",politics_government
yahoo_00323,Is Barry Bonds on steroids? No he is great,sports
yahoo_05302,"what is the approximate temperature of molten lava? Approximately 2000 degrees F unless it is in a Lava tube, then it can be over 3000 degrees F because the heat is contained.\n\nThis also allows the lava to stay in a liquid state and travel farther as seen in Hawaii where it travels underground exiting into the ocean.",science_mathematics
yahoo_02611,is an homework sorter invented yet? homework sorter? you mean an agenda or calendar,education_reference
yahoo_00811,Will they come back? to beat the oilers to move on to buffalo???(probally)\n\n\nGO ANAHEIM!!!!!! i hope. but with the way the race is going it's a hard bet.,sports
yahoo_00393,"""Deal or No Deal?"" or ""Your Fired!""? What show do you like the best Deal or no Deal or Apprentice.Or mabey you like both or none at all. ""Deal or no Deal""...I find myself yelling at the TV telling the contestant what to do. Keeps me on the edge of my seat sometimes.Plus you get to play along!!!!How much of the ""Donald"" can we take?",entertainment_music
yahoo_03593,who are you more scared of AL-Aida or AL-kracker? God Chris Rock cracks me up. LOL,society_culture
yahoo_02638,i am 37 and have a hard time remembering and learning easy what is wrong? I think you should reword your question...,health
yahoo_02187,"Pastor told me that I am going to hell for listening to a song called ""You're going to hell!"" Is this true? I was listening to a nu-goth-retro-punk band called Kaisergutenslavin, and enjoying their Mandarin ballad entitled ""You are going to hell"". The pastor of my new age Eckankar church told me that this particular song really will send me to hell if I listed to whole song. \n\nI LISTENED TO IT NINE TIMES!\n \nDoes anyone know if there is a counter-curse or other song I can play to save myself? I played a few Stryper albums, but I still feel damned. HELP! I heard the same thing. Unfortunately , if you listened to it even once it's too late - you will indeed go to hell. I once listened to Kansas City Here I Come and two weeks later I went to Kansas City !",business_finance
yahoo_05351,"Thought I had added spyware, and I haven't. Now my laptop is at risk..? will I be safe to turn it off till a.m. And, isn't there free anti spyware out there?I do not even know how to register it It's always safe to turn your laptop off. But you should install anti-spyware as soon as possible.\n\nHere are 2 good programs, all free:\n\nAdaware: get this at www.lavasoft.com. You can use it to scan your laptop whenever you suspect you have spyware on it, and it will eliminate alot of pests.\n\nSpyware Blaster: get it at www.javacoolsoftware.com. It protects your PC from getting alot of spyware loaded onto it. \n\nIt's also good to have a strong antivirus program on your PC. If you don't have one already and want a free one, get AVG from www.grisoft.com.",computers_internet
yahoo_00319,"what kinds of things would a Navy seaman recruit enjoy receiving in the mail? I know food is not allowed.? My son went into boot camp two weeks after he graduated from high school, I'm hoping someone who has been thru boot camp will give me ideas. well dont send anything that the Company Commander will be able to rip him apart for..they like to open mail, and if there is some good personal pictures, or nicknames they will eat your son up with them..\nI was in the Coast Guard..and any letter is nice, just about what is going on..but dont make him feel like he is missing something, make it sound like things are boring there right now and he is better off where he is, the last thing he wants to hear is that he missed so and sos BBQ, and all the fun everyone is having..encourage the whole family to write not just Mom, but Dad, siblings, close friends and cousins",politics_government
yahoo_00167,"why wont firefox let me go onto youtube? every time i try to onto youtube with firefox, the page freezes. whats up with that? anybody know how i can fix the problem??? Try deleting your cookies",computers_internet
yahoo_00746,"a biology project??please!? So where do you get ideas for biology science fair projects? The answer is from almost anywhere. The key is to start with a question that you would like to find an answer to and use the scientific method to help you answer it. When choosing a science fair project topic, make sure that you select a topic that you are interested in. Then narrow this topic down to a specific question.",science_mathematics
yahoo_05470,Does the spoken rhetoric of Mrs. Pelosi's Democratic party remind you of a parent talking to a five year old? Did you see her victory speech last night? Harry Reid was just as bad. Uh-huh. And to think that she will be 3rd in line to be president if anything should happen to Bush and Cheney...EEEEWWW!!,politics_government
yahoo_03707,"was imperialism in south east asia beneficial in the long run? if so, why? i can't find much information, so any would help! nope",education_reference
yahoo_02764,"WHY do WOMEN DO this? Women say that they don't want a guy who only wants them for there looks, so guess what I do!\n\nI simply talk to women in a flirting manner of course, while remaining a gentleman but where does that get me, you guessed it in the friend pile lol.\n\nWow, so once in the friend pile, what do I do I run a simple test by throwing in compliments in regards of there beauty and even sexual comments.\n\nAnd guess what, now these women see me as somebody they want to be with (I mean really want to be with lol).\n\nlol, I don't understand this why do is it that you have to do this instead of being a gentleman.\n\nIs it that women of today can only take a guy seriosuly if he does these things lol! ^_^ You already answered your question.... you said the key word ONLY.... Every woman wants to know that she is beautiful and sexy, we love to hear it. But that is not all we want. We really do want the whole package so to speak.",family_relationships
yahoo_05112,Where can I find Summer school scholarships for 2006? go to hesc.com financial help or fastweb.com great search for scholarships,education_reference
yahoo_04006,quien descubrio a america? THe vikings in year 1000.\nI'm not joking .\nSee in\nhttp://www.mnsu.edu/emuseum/prehistory/vikings/oview.html,sports
yahoo_01871,"What government position does Lucien Debray hold? Lucien Debray is mentioned is the literature ""Count of Monte Cristo"". You can find a link to this listed below. Sorry I couldn't be of more help.",education_reference
yahoo_05756,"Do you think high quality,large,well cut diamonds are a good investment??? No, diamonds are not a good investment if you plan to buy an ""investment grade"" diamond, and lock it away in a dark safe deposit box. First of all, you are investing in a commodity that is controlled by a benevolent dictator (monopoly) in a foreign land. I'm talking of course about Debeers company that controls the price and distribution of over 80% of the world's diamonds. There is no free market price at the source of diamonds. Debeers sets the price and controls the quantity of diamonds available. No one knows how many diamonds are stored in Debeers' vaults.\n\nPeople who buy investment diamonds from a broker, friend or relative usually pay such a high price over true wholesale, that it might to take forever to see any real appreciation; this is especially true for those laymen who believe they really know the four C's and a lot about the diamond market. Wheeling and dealing in diamonds should only be attempted by experienced, professional diamond dealers. Diamonds pay no dividends or interest. My opinion is that diamonds are for wearing, not investing.",business_finance
yahoo_03193,"what ink is used on cigrettes to write on it? From Philip Morris International's website:\n\n""Monogram ink - Cigarette papers often have a small brand identifying mark (monogram) printed either on the cigarette paper towards the filter end of the cigarette or on the tipping paper. The monogram is printed on the paper using a small amount of ink. The monogram inks used on Philip Morris cigarettes are pigment inks and may contain black, blue, red and/or yellow pigments.""\n\nHope that helps!\n\nBUT WAIT -- there's more!\n\nFrom a website that may or may not be reputable:\n""There are no animal-derived products in the ingredients that are added to the tobacco of our cigarette products. There are, however, a very limited number of animal-derived ingredients in a few of the non-tobacco components purchased by Philip Morris USA. For example, menhaden oil, a type of fish oil, is used as part of the monogram ink used on some of our cigarette brands.""\nhttp://www.veganporn.com/comment.pl?mode=add&topic=20&forumid=0&pid=43&start=0&userid=0\n(indeed, menhaden oil is used for other inks... ""Menhaden oil is obtained from menhaden fish for soaps, rubber\ncompounding, printing inks, animal feed, and leather-dressing\nlubricants."" -- http://usda.mannlib.cornell.edu/reports/erssor/specialty/ius-bb/ius7f.asc )",health
yahoo_03754,why do children bit so much? Bit is not a verb. Try again.,education_reference
yahoo_05625,"Can any one suggest me a remedial measure for gallbladder stone other than surgery.? I have 8 mm stone in my gallbladder. It very often gives me inbearable pain. There's really nothing else other than surgery, I had my gallbladder removed it's a simple surgery and believe you me it is totally worth it, no more gallbladder attacks.",health
yahoo_04894,how come I cant IM on singleparentsmingle after joining yahoo instant messenger? dono,computers_internet
yahoo_04102,"How many of you are absolutely, positively, without any doubt whatsoever sure that............................ IF you died right NOW you would be with Jesus forever? If you had to think about it, then what do you think about what you need to do immediately? guess what? I am very sure of that!! And well, Jesus has paid the price for all my sins and though I am a bad bad person I have this hope only because of his atonement!! And the Lord wants the same for each and every one of us.. So I urge each one to consider the Lord's great sacrifice for us!!",society_culture
yahoo_01261,"what's the best place online that offers free disk storage space? Check out yahoo, or myspace...",computers_internet
yahoo_02338,how do i cancel an alternate email? i use to be sassyfor28@hotmail and it still says i am -can i cancel that? i only want yahoo to be my email address - why does my computer insists i am also hotmail as primary? and why does it always say outlook express -how do i get rid of those.hotmail doesnt let you email to websites anymore. you can delete it if you want,computers_internet
yahoo_00084,Whats the point? Why do people get married anymore?? Everybody I know who gets married(including myself) eventually gets divorced. no pont what so ever...,family_relationships
yahoo_03821,what do you think is the ideal age to allow your children to date? i think 13 for a group date but one on one should be 15 or 16,family_relationships
yahoo_02653,"i m an Indian and in Uganda, i want a good girl or woman, for chating?",family_relationships
