id,text,label
12628,"He's in position to succeed In his ninth year with the Patriots, Tedy Bruschi has continued to defy  He's in position to succeed In his ninth year with the Patriots, Tedy Bruschi has continued to defy description. Is he a defensive lineman in a linebacker's body? Or is he a linebacker with a defensive lineman's demeanor?",sports
37730,Colgate Sees Profit Well Short of Targets (Reuters) Reuters - Colgate-Palmolive Co Colgate Sees Profit Well Short of Targets (Reuters) Reuters - Colgate-Palmolive Co.  on Monday\warned that second-half earnings will fall well short of Wall\Street forecasts due to higher marketing spending.,business
39991,"Hollinger Adds 2 Independent Directors Hollinger Inc., the scandal-plagued parent of newspaper publi Hollinger Adds 2 Independent Directors Hollinger Inc., the scandal-plagued parent of newspaper publisher Hollinger International Inc., Tuesday said it increased the number of independent directors on its board to five from three.",business
8525,"Maroth finally gets 11th win, 3-1 When you #39;ve lost 21 games in a season, how tough can it be to  Maroth finally gets 11th win, 3-1 When you #39;ve lost 21 games in a season, how tough can it be to deal with a runner in scoring position and nobody out? Tigers left-hander Mike Maroth ruined three such opportunities for Cleveland ",sports
8279,"A Raider defense that fit the Bill At times during Sunday #39;s 13-10 victory over the Buffalo Bills A Raider defense that fit the Bill At times during Sunday #39;s 13-10 victory over the Buffalo Bills, some of the Raiders were Xs when they should have been Os and still turned the outcome into a plus.",sports
51012,"Moody #39;s May Cut Philippine Ratings on Budget Deficit (Update1) The Philippines may have its long Moody #39;s May Cut Philippine Ratings on Budget Deficit (Update1) The Philippines may have its long-term debt ratings cut by Moody #39;s Investors Service, which cited the government #39;s budget deficit and debt.",business
14871,"Goosen brings a sparkle to the gloom With overnight rain causing a 2-hour delay to the start of play Goosen brings a sparkle to the gloom With overnight rain causing a 2-hour delay to the start of play in the HSBC World Matchplay Championship at Wentworth, Retief Goosen did his bit to help to make up ground.",sports
15127,"Simons resigns as South Africa coach Durban, Oct Simons resigns as South Africa coach Durban, Oct. 15. - The recent poor performances by the South African cricket team has found its first casualty in coach Eric Simons, who resigned from his post today.",sports
9366,"Tennis: Grand Slam showdown set as Sharapova faces Kuznetsova in &lt;b&gt;...&lt;/b&gt; BEIJING : Ma Tennis: Grand Slam showdown set as Sharapova faces Kuznetsova in &lt;b&gt;...&lt;/b&gt; BEIJING : Maria Sharapova will have Russian pride as well as a small measure of revenge in mind when she faces fellow Grand Slam champion Svetlana Kuznetsova Saturday in the semi-finals of the 585,000 US dollar China Open.",sports
33322,"A tax shelter factory bared in KPMG memos KPMG, the accounting firm under scrutiny for promoting tax A tax shelter factory bared in KPMG memos KPMG, the accounting firm under scrutiny for promoting tax shelters that were found to be abusive, discussed selling a new shelter highly similar to a banned version more than two years after the US Internal Revenue Service outlawed the original one and ",business
53390,"Google Plans New Service for Scientists and Scholars Google Scholar is intended as a first stop for  Google Plans New Service for Scientists and Scholars Google Scholar is intended as a first stop for researchers looking for scholarly literature like peer-reviewed papers, books, abstracts and technical reports.",business
21819,"Krenzel gets in full practice, ready to go Craig Krenzel practiced Thursday and is set to play Sunda Krenzel gets in full practice, ready to go Craig Krenzel practiced Thursday and is set to play Sunday against Tennessee despite bruised ribs.  quot;As I said yesterday, I felt like he would be OK, quot; Bears coach Lovie Smith said.",sports
5026,"Singh never faltered down the stretch waited for a mistake Singh never faltered down the stretch waited for a mistake. And when Woods was the one to make it, Singh was on his way to a whopping sixth victory of the year and the No.",sports
23428,British govt to complain to Spain about racist chants Britain will seek action at top government lev British govt to complain to Spain about racist chants Britain will seek action at top government level after England #39;s black soccer players were racially abused by the crowd during Wednesday #39;s friendly international against Spain in Madrid.,sports
45297,"Google Desktop Last Thursday Google released a version of its online search for your computer Google Desktop Last Thursday Google released a version of its online search for your computer. I wanted to test-drive it before reporting. Knowing the excruciating delays using Windows Search, I can say after only a weekend ",business
26354,"We #39;d like to set a 250-run target: Jennings Kolkata: Having managed to  quot;take the momentum a We #39;d like to set a 250-run target: Jennings Kolkata: Having managed to  quot;take the momentum away from India quot;, South Africa are now looking to set a target of 250 runs for the hosts in the fourth innings of the second and deciding cricket Test here.",sports
30195,Google IPO statement ready to go Google's planned flotation moves another step closer after the comp Google IPO statement ready to go Google's planned flotation moves another step closer after the company and its underwriters ask the SEC to declare its registration effective.,business
47038,Contractors in Iraq make costs balloon Jerry Zovko #39;s contract with Blackwater USA looked straigh Contractors in Iraq make costs balloon Jerry Zovko #39;s contract with Blackwater USA looked straightforward: He would earn \$600 a day guarding convoys that carried food for US troops in Iraq.,business
20731,"Game of the day; by the numbers After ending New England #39;s 21-game winning streak last week, the Game of the day; by the numbers After ending New England #39;s 21-game winning streak last week, the Steelers have a shot at beating the league #39;s last undefeated team this season.",sports
34047,"Open Text plummets on profit warning, analysts slashing targets Open Text Corp Open Text plummets on profit warning, analysts slashing targets Open Text Corp. shares plunged to their lowest in more than a year yesterday after the business software maker warned that profit in the current quarter will fall short of forecasts and analysts ",business
26064,Blacks Caps stumble early in chase New Zealand was in early trouble during its second innings midway Blacks Caps stumble early in chase New Zealand was in early trouble during its second innings midway through day four of the second cricket Test against Australia at the Adelaide Oval.,sports
42469,"EADS Buys Military Electronics Co EADS Buys Military Electronics Co. Racal European Aeronautic Defence and Space Company NV acquired US military electronics company Racal Instruments Inc. in a deal worth up to US\$130 million (euro105 million), the European defense giant said Wednesday.",business
29746,"India looking to submerge Bangladesh in run deluge Chittagong, Dec India looking to submerge Bangladesh in run deluge Chittagong, Dec. 17 (PTI): India will look to pile up a huge first innings score to back their bowlers on a flat, lifeless track in the second and final cricket Test against Bangladesh, vice-captain Rahul Dravid said here today.",sports
14522,Same dates at Norton How can the golfing fraternity not be excited over the PGA Tour's return to the Same dates at Norton How can the golfing fraternity not be excited over the PGA Tour's return to the TPC of Boston over Labor Day weekend next year? Not after this year's tournament caused such drama when Vijay Singh shot a 16-under-par 268 for a 3-shot victory over Tiger Woods and Adam Scott to take the World No. 1 ranking away from Woods who ...,sports
31572,"Asda Tops Mark  amp; Spencer on UK Clothing Sales, Telegraph Says Wal-Mart Stores Inc Asda Tops Mark  amp; Spencer on UK Clothing Sales, Telegraph Says Wal-Mart Stores Inc. #39;s Asda, the UK #39;s second biggest supermarket chain, surpassed Marks  amp; Spencer Group Plc as Britain #39;s largest clothing retailer in the last three months, according to the Sunday Telegraph.",business
54949,Report: Time Warner Near Deal With SEC There #39;s a report that the Securities and Exchange Commiss Report: Time Warner Near Deal With SEC There #39;s a report that the Securities and Exchange Commission and Time Warner are close to a settlement over accounting questions at the media giant #39;s America Online unit.,business
19368,"Chiefs spoil Manning #39;s big day CBC SPORTS ONLINE - Peyton Manning threw for a career-high 472 ya Chiefs spoil Manning #39;s big day CBC SPORTS ONLINE - Peyton Manning threw for a career-high 472 yards and five touchdowns on 25-of-44 passing, but his last-ditch comeback attempt ended with an interception in the end zone in the closing minutes as Kansas City outlasted Indianapolis 45-35 ",sports
3803,"Sir Bobby - End of an era? ONE of the most experienced and popular managers in world football, forme Sir Bobby - End of an era? ONE of the most experienced and popular managers in world football, former Ipswich Town boss Sir Bobby Robson, spoke of his disappointment last night after being sacked by Newcastle United.",sports
53325,"American yanks pillows Move to save hundreds of thousands of dollars on short-haul flights, decrease American yanks pillows Move to save hundreds of thousands of dollars on short-haul flights, decrease turn-around time. DALLAS, Nov 17 (Reuters) - Cost cutting at American Airlines may cost passengers some sleep as the airline has removed pillows on about half of its fleet.",business
14300,"Wilkinson is Foxes #39; fast fix Former Sunderland and Leeds manager Howard Wilkinson has today been Wilkinson is Foxes #39; fast fix Former Sunderland and Leeds manager Howard Wilkinson has today been appointed temporary first-team coach of Leicester. Wilkinson, the one-time England caretaker coach and technical director, will work with ",sports
51301,"California Backs Merger of 2 Giant Blue Cross Plans Anthem and Wellpoint Health Networks finally won California Backs Merger of 2 Giant Blue Cross Plans Anthem and Wellpoint Health Networks finally won approval from John Garamen, Californias insurance commissioner, to create the nation's largest health insurer.",business
9008,"This Penny is bringing all bad luck Jim Tracy had watched his would-be staff ace grab his right arm  This Penny is bringing all bad luck Jim Tracy had watched his would-be staff ace grab his right arm and walk off again, into the dugout, up the clubhouse tunnel and probably straight into the offseason.",sports
